===========================================================
  VALORACIONES DEL SIMULADOR
===========================================================

  Escribe el numero despues de la barra "|". Ejemplo:
Monterrey                                | 73
Necaxa                                   | 66
Pachuca                                  | 69
Puebla                                   | 64
Pumas UNAM                               | 68
Querétaro                                | 64
Santos Laguna                            | 66
Tigres UANL                              | 72
Tijuana                                  | 65
Toluca                                   | 71

-- Resto de CONCACAF / Resto de CONCACAF  [otrosconcacaf]  (16) --
Alianza FC El Salvador                   | 53
Antigua GFC                              | 52
CA Independiente de La Chorrera          | 50
Cavalry FC                               | 50
CD Marathón                              | 52
CD Olimpia                               | 58
Comunicaciones FC                        | 57
CS Cartaginés                            | 57
CS Herediano                             | 59
CSD Municipal                            | 54
Deportivo Saprissa                       | 62
FC Motagua                               | 57
LD Alajuelense                           | 61
Real España                              | 55
Tauro FC                                 | 52
Xelajú MC                                | 54

###########################################################
#  ASIA (AFC)
###########################################################

-- Arabia Saudita / Saudi Pro League  [saudi]  (18) --
Abha Club                                | 57
Al-Ahli                                  | 70
Al-Ettifaq                               | 64
Al-Faisaly                               | 61
Al-Fateh                                 | 59
Al-Fayha                                 | 58
Al-Hazem                                 | 57
Al-Hilal                                 | 71
Al-Ittihad                               | 69
Al-Khaleej                               | 61
Al-Kholood                               | 60
Al-Nassr                                 | 70
Al-Qadsiah                               | 66
Al-Riyadh                                | 64
Al-Shabab                                | 64
Al-Taawoun                               | 62
Diriyah Club                             | 58
NEOM SC                                  | 65

-- Australia / A-League Men  [australia]  (10) --
Adelaide United                          | 62
Brisbane Roar                            | 62
Central Coast Mariners                   | 62
Macarthur FC                             | 62
Melbourne City                           | 64
Melbourne Victory                        | 64
Newcastle Jets                           | 62
Perth Glory                              | 62
Sydney FC                                | 62
Western Sydney Wanderers                 | 62

-- China / Chinese Super League  [china]  (18) --
Beijing Guoan                            | 62
Changchun Yatai                          | 56
Chengdu Rongcheng                        | 54
Dalian Yingbo                            | 54
Guangzhou R&F                            | 59
Henan FC                                 | 53
Kunshan FC                               | 52
Meizhou Hakka                            | 53
Qingdao Hainiu                           | 51
Qingdao West Coast                       | 49
Shandong Taishan                         | 58
Shanghai Port                            | 60
Shanghai Shenhua                         | 61
Sichuan Jiuniu                           | 49
Tianjin Jinmen Tiger                     | 57
Wuhan Three Towns                        | 55
Yunnan Yukun                             | 52
Zhejiang FC                              | 54

-- Corea del Sur / K League 1  [corea]  (12) --
Bucheon FC 1995                          | 53
Daejeon Hana Citizen                     | 56
FC Anyang                                | 52
FC Seoul                                 | 58
Gangwon FC                               | 55
Gimcheon Sangmu                          | 54
Gwangju FC                               | 56
Incheon United                           | 56
Jeju SK                                  | 55
Jeonbuk Hyundai Motors                   | 61
Pohang Steelers                          | 60
Ulsan HD                                 | 63

-- Japón / J1 League  [japon]  (20) --
Albirex Niigata                          | 59
Avispa Fukuoka                           | 57
Cerezo Osaka                             | 61
Fagiano Okayama                          | 54
FC Tokyo                                 | 59
Gamba Osaka                              | 63
Kashima Antlers                          | 65
Kashiwa Reysol                           | 62
Kawasaki Frontale                        | 61
Kyoto Sanga                              | 58
Machida Zelvia                           | 56
Nagoya Grampus                           | 59
Sanfrecce Hiroshima                      | 60
Shimizu S-Pulse                          | 57
Shonan Bellmare                          | 55
Tokyo Verdy                              | 54
Urawa Red Diamonds                       | 62
Vissel Kobe                              | 62
Yokohama F. Marinos                      | 60
Yokohama FC                              | 59

-- Resto de AFC / Resto de AFC  [otrosafc]  (16) --
Al Ain FC                                | 62
Al Duhail                                | 57
Al Quwa Al Jawiya                        | 53
Al Sadd                                  | 58
Al Wasl                                  | 57
Al-Arabi                                 | 56
Buriram United                           | 54
Esteghlal                                | 55
Johor Darul Ta'zim                       | 54
Nasaf Qarshi                             | 52
Pakhtakor Tashkent                       | 54
Persepolis                               | 57
Sepahan                                  | 56
Shabab Al Ahli                           | 54
Sharjah FC                               | 53
Tractor SC                               | 54

###########################################################
#  AFRICA (CAF)
###########################################################

-- Egipto / Egyptian Premier League  [egipto]  (20) --
Abu Qir Semad                            | 53
Al Ahly                                  | 67
Al Ittihad Alexandria                    | 55
Al Masry                                 | 56
Al Mokawloon Al Arab                     | 54
Asyut Petroleum                          | 53
Ceramica Cleopatra                       | 58
El Gouna                                 | 52
El Qanah FC                              | 52
ENPPI                                    | 54
Ghazl El Mahalla                         | 53
Modern Sport                             | 53
National Bank of Egypt                   | 55
Petrojet                                 | 54
Pyramids FC                              | 64
Smouha                                   | 55
Tala'ea El Gaish                         | 55
Wadi Degla                               | 51
Zamalek                                  | 63
ZED FC                                   | 49

-- Marruecos / Botola Pro  [marruecos]  (16) --
COD Meknès                               | 52
Difaâ El Jadida                          | 54
FAR Rabat                                | 57
FUS Rabat                                | 56
Hassania Agadir                          | 52
Ittihad Tanger                           | 53
Kawkab Marrakech                         | 53
MA Tétouan                               | 52
Maghreb de Fès                           | 56
Raja Casablanca                          | 62
Renaissance Zemamra                      | 53
RS Berkane                               | 59
Union Touarga                            | 54
US Amal Tiznit                           | 50
Widad Témara                             | 51
Wydad Casablanca                         | 64

-- Resto de CAF / Resto de CAF  [otroscaf]  (16) --
Asante Kotoko                            | 54
Canon Yaoundé                            | 52
Club Africain                            | 54
Coton Sport                              | 53
CR Belouizdad                            | 54
CS Sfaxien                               | 55
Enyimba FC                               | 52
ES Sétif                                 | 59
Espérance de Túnez                       | 63
Étoile du Sahel                          | 57
Hearts of Oak                            | 54
MC Alger                                 | 57
Petro de Luanda                          | 54
Rivers United                            | 48
Simba SC                                 | 53
TP Mazembe                               | 58

-- Sudáfrica / Betway Premiership  [sudafrica]  (16) --
AmaZulu FC                               | 52
Chippa United                            | 49
Durban City                              | 48
Golden Arrows                            | 53
Kaizer Chiefs                            | 58
Kruger United                            | 46
Mamelodi Sundowns                        | 63
Marumo Gallants                          | 47
Milford FC                               | 48
Orlando Pirates                          | 57
Polokwane City                           | 48
Richards Bay FC                          | 51
Sekhukhune United                        | 50
Siwelele FC                              | 48
Stellenbosch FC                          | 53
TS Galaxy                                | 51

###########################################################
#  OCEANIA (OFC)
###########################################################

-- Oceanía / Resto de OFC  [otrosofc]  (8) --
AS Pirae                                 | 42
Auckland City FC                         | 54
Bay Olympic                              | 37
Birkenhead United                        | 44
Christchurch United                      | 42
Hienghène Sport                          | 42
Solomon Warriors                         | 40
Wellington Olympic                       | 39

###########################################################
#  SELECCIONES NACIONALES  (211)
###########################################################

-- Selecciones EUROPA (UEFA)  [__nations__/UEFA]  (55) --
Albania                                  | 69
Alemania                                 | 84
Andorra                                  | 58
Armenia                                  | 68
Austria                                  | 76
Azerbaiyán                               | 63
Bélgica                                  | 80
Bielorrusia                              | 62
Bosnia-Herzegovina                       | 70
Bulgaria                                 | 66
Chequia                                  | 73
Chipre                                   | 64
Croacia                                  | 81
Dinamarca                                | 77
Escocia                                  | 75
Eslovaquia                               | 71
Eslovenia                                | 69
España                                   | 87
Estonia                                  | 59
Finlandia                                | 67
Francia                                  | 88
Gales                                    | 70
Georgia                                  | 68
Gibraltar                                | 53
Grecia                                   | 71
Hungría                                  | 69
Inglaterra                               | 87
Irlanda                                  | 68
Irlanda del Norte                        | 65
Islandia                                 | 67
Islas Feroe                              | 63
Israel                                   | 67
Italia                                   | 81
Kazajistán                               | 63
Kosovo                                   | 67
Letonia                                  | 62
Liechtenstein                            | 53
Lituania                                 | 61
Luxemburgo                               | 64
Macedonia del Norte                      | 68
Malta                                    | 56
Moldavia                                 | 57
Montenegro                               | 68
Noruega                                  | 78
Países Bajos                             | 84
Polonia                                  | 75
Portugal                                 | 85
Rumanía                                  | 68
Rusia                                    | 71
San Marino                               | 49
Serbia                                   | 75
Suecia                                   | 77
Suiza                                    | 79
Turquía                                  | 76
Ucrania                                  | 74

-- Selecciones SUDAMERICA (CONMEBOL)  [__nations__/CONMEBOL]  (10) --
Argentina                                | 87
Bolivia                                  | 68
Brasil                                   | 86
Chile                                    | 73
Colombia                                 | 80
Ecuador                                  | 77
Paraguay                                 | 75
Perú                                     | 72
Uruguay                                  | 79
Venezuela                                | 72

-- Selecciones NORTEAMERICA Y CARIBE (CONCACAF)  [__nations__/CONCACAF]  (35) --
Anguila                                  | 37
Antigua y Barbuda                        | 46
Aruba                                    | 39
Bahamas                                  | 38
Barbados                                 | 41
Belice                                   | 48
Bermudas                                 | 49
Canadá                                   | 74
Costa Rica                               | 70
Cuba                                     | 56
Curazao                                  | 65
Dominica                                 | 43
El Salvador                              | 61
Estados Unidos                           | 79
Granada                                  | 47
Guatemala                                | 62
Guyana                                   | 45
Haití                                    | 67
Honduras                                 | 68
Islas Caimán                             | 36
Islas Turcas y Caicos                    | 35
Islas Vírgenes Británicas                | 32
Islas Vírgenes de EE.UU.                 | 33
Jamaica                                  | 68
México                                   | 76
Montserrat                               | 52
Nicaragua                                | 59
Panamá                                   | 67
Puerto Rico                              | 54
República Dominicana                     | 58
San Cristóbal y Nieves                   | 53
San Vicente y las Granadinas             | 54
Santa Lucía                              | 52
Surinam                                  | 64
Trinidad y Tobago                        | 64

-- Selecciones ASIA (AFC)  [__nations__/AFC]  (46) --
Afganistán                               | 48
Arabia Saudita                           | 69
Australia                                | 70
Bangladés                                | 46
Baréin                                   | 57
Brunéi                                   | 40
Bután                                    | 41
Camboya                                  | 45
Catar                                    | 68
China                                    | 62
Corea del Norte                          | 57
Corea del Sur                            | 73
Emiratos Árabes Unidos                   | 64
Filipinas                                | 58
Guam                                     | 47
Hong Kong                                | 48
India                                    | 51
Indonesia                                | 55
Irak                                     | 67
Irán                                     | 69
Japón                                    | 75
Jordania                                 | 62
Kirguistán                               | 56
Kuwait                                   | 58
Laos                                     | 51
Líbano                                   | 60
Macao                                    | 46
Malasia                                  | 57
Maldivas                                 | 53
Mongolia                                 | 52
Myanmar                                  | 52
Nepal                                    | 49
Omán                                     | 59
Pakistán                                 | 53
Palestina                                | 57
Singapur                                 | 55
Siria                                    | 63
Sri Lanka                                | 47
Tailandia                                | 56
Taipéi Chino                             | 50
Tayikistán                               | 54
Timor Oriental                           | 45
Turkmenistán                             | 53
Uzbekistán                               | 64
Vietnam                                  | 58
Yemen                                    | 53

-- Selecciones AFRICA (CAF)  [__nations__/CAF]  (54) --
Angola                                   | 2.5
Argelia                                  | 3.5
Benín                                    | 2.5
Botsuana                                 | 1.5
Burkina Faso                             | 3
Burundi                                  | 2
Cabo Verde                               | 3
Camerún                                  | 3.5
Chad                                     | 1.5
Comoras                                  | 2
Congo                                    | 2.5
Costa de Marfil                          | 3.5
Egipto                                   | 3.5
Eritrea                                  | 1.5
Esuatini                                 | 1
Etiopía                                  | 2
Gabón                                    | 3
Gambia                                   | 2.5
Ghana                                    | 3.5
Guinea                                   | 3
Guinea Ecuatorial                        | 2.5
Guinea-Bisáu                             | 2
Kenia                                    | 2
Lesoto                                   | 1.5
Liberia                                  | 1.5
Libia                                    | 2
Madagascar                               | 1.5
Malaui                                   | 2
Malí                                     | 3
Marruecos                                | 4
Mauricio                                 | 1
Mauritania                               | 2
Mozambique                               | 2.5
Namibia                                  | 2
Níger                                    | 2
Nigeria                                  | 4
RD Congo                                 | 3
República Centroafricana                 | 2.5
Ruanda                                   | 2
Santo Tomé y Príncipe                    | 1
Senegal                                  | 4
Seychelles                               | 1
Sierra Leona                             | 2.5
Somalia                                  | 1
Sudáfrica                                | 3
Sudán                                    | 2.5
Sudán del Sur                            | 1.5
Tanzania                                 | 2
Togo                                     | 2.5
Túnez                                    | 3
Uganda                                   | 2.5
Yibuti                                   | 1.5
Zambia                                   | 2.5
Zimbabue                                 | 2.5

-- Selecciones OCEANIA (OFC)  [__nations__/OFC]  (11) --
Fiyi                                     | 1.5
Islas Cook                               | 1
Islas Salomón                            | 1.5
Nueva Caledonia                          | 2
Nueva Zelanda                            | 3
Papúa Nueva Guinea                       | 1.5
Samoa                                    | 1
Samoa Americana                          | 1
Tahití                                   | 1.5
Tonga                                    | 1
Vanuatu                                  | 1

###########################################################
#  TOTAL: 1114 clubes en 63 ligas + 211 selecciones
###########################################################
